commit	ies_score	structural	validated	convention	unguarded	lines_delta	tests	status	description
e688469	0.6111	1	8	2	1	3 files changed, 132 insertions(+)	pass	keep	Add filter param validation to validation package
efd4c95	0.6389	1	9	2	0	2 files changed, 39 insertions(+)	pass	keep	Add chunk line bounds validation
79f68be	0.6667	1	10	1	0	2 files changed, 60 insertions(+), 7 deletions(-)	pass	keep	Add PII redaction struct tags and completeness test
6e0dc7a	0.7500	2	10	0	0	1 file changed, 76 insertions(+)	pass	keep	Add cross-language pricing table sync test
2393ff6	0.7778	4	8	0	0	1 file changed, 47 insertions(+)	pass	keep	Add reflection-based AllValid exhaustiveness test
5d5d6ee	0.8056	5	7	0	0	1 file changed, 3 insertions(+), 2 deletions(-)	pass	keep	Add decimal format refinement to cost schema
ed38724	0.8333	6	6	0	0	1 file changed, 17 insertions(+)	pass	keep	Add CardValidator interface for compile-time IsValid enforcement
5d5d6ee	0.8056	5	7	0	0	1 file changed, 3 insertions(+), 2 deletions(-)	pass	keep	Add decimal format refinement to cost schema
f3b1960	0.8611	7	5	0	0	1 file changed, 12 insertions(+)	pass	keep	Add ValidFirstLine type for chunk line bounds
e1dd66f	0.8889	8	4	0	0	1 file changed, 16 insertions(+)	pass	keep	Add ValidFirstLineRange struct satisfying both chunk checks
